[10-10-2025 00:30:06] HTTP: [User: anonymous] → GET /api/admin/teachers?includeResigned=true from IP ::1 (Localhost) | UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36
[10-10-2025 00:30:07] INFO: [User: anonymous] ← 200 GET /api/admin/teachers?includeResigned=true | 313.26 ms from ::1
[10-10-2025 00:30:07] INFO: [User: anonymous] ← 200 GET /api/admin/teachers?includeResigned=true | 888.36 ms from ::1
[10-10-2025 00:30:08] WARN: [SLOW] [User: anonymous] ← 200 GET /api/admin/teachers?includeResigned=true | 1655.94 ms from ::1
[10-10-2025 00:30:08] INFO: [User: anonymous] ← 200 GET /api/admin/teachers?includeResigned=true | 1655.94 ms from ::1
[10-10-2025 00:30:08] WARN: [SLOW] [User: anonymous] ← 200 GET /api/admin/departments/ | 1888.42 ms from ::1
[10-10-2025 00:30:08] INFO: [User: anonymous] ← 200 GET /api/admin/departments/ | 1888.42 ms from ::1
[10-10-2025 00:30:10] HTTP: [User: anonymous] → GET /api/admin/templates from IP ::1 (Localhost) | UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36
[10-10-2025 00:30:10] HTTP: [User: anonymous] → GET /api/admin/faculties from IP ::1 (Localhost) | UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36
[10-10-2025 00:30:10] HTTP: [User: anonymous] → GET /api/admin/activity-types from IP ::1 (Localhost) | UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36
[10-10-2025 00:30:10] HTTP: [User: anonymous] → GET /api/admin/activity-statuses from IP ::1 (Localhost) | UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36
